track_id,type,traveled_d,avg_speed,lat,lon,speed,lon_acc,lat_acc,time
265, Taxi,475.18,18.965135,37.982838,23.729128,33.6342,0.0004,-0.0139,31.8
266, Motorcycle,476.69,27.413735,37.979858,23.733274,61.8853,4.5235,-5.0138,32.4
267, Car,473.11,24.683775,37.979871,23.73324,53.759,-0.0068,0.0032,32.4
268, Car,476.44,23.955312,37.979879,23.733286,52.0962,0.015,0.0599,32.6
269, Medium Vehicle,476.64,20.282719,37.982859,23.729158,34.0731,-0.0284,-0.0802,33.2
270, Car,378.42,17.831304,37.979911,23.733343,49.0149,0.0022,-0.0402,33.4
271, Car,475.27,20.176726,37.982842,23.729148,32.1338,-0.0155,-0.14,34.2
272, Car,409.94,1.920106,37.979888,23.733316,56.0969,0.6692,-0.6668,34.2
273, Car,474.2,23.709754,37.979874,23.73325,56.2731,0.0032,0.0206,34.8
274, Motorcycle,131.54,15.890921,37.979824,23.7311,30.5397,-0.4268,0.2781,35.0
275, Car,30.4,19.542569,37.982862,23.729195,24.4125,0.0833,-0.0063,35.4
276, Medium Vehicle,135.59,7.440951,37.979797,23.731101,13.6191,0.2794,0.0085,35.4
277, Taxi,378.29,15.909443,37.979883,23.73328,52.1996,0.078,0.3307,36.8
278, Car,378.35,17.068582,37.979912,23.733341,49.4835,0.0267,0.0679,36.8
279, Motorcycle,474.77,27.302872,37.979876,23.733258,53.1031,0.7063,-1.2221,37.6
280, Car,165.71,35.09161,37.98284,23.729127,46.6778,0.0145,0.1532,38.4
281, Heavy Vehicle,298.18,15.119235,37.982846,23.729161,28.4718,-0.0667,-0.0419,38.6
282, Medium Vehicle,165.81,31.090033,37.982876,23.729189,36.4351,0.1153,0.1584,39.0
283, Motorcycle,472.54,25.697199,37.982838,23.729136,47.3354,-0.0003,-0.0857,39.2
284, Car,30.21,24.714238,37.982875,23.729192,33.2587,0.2394,-0.0642,40.2
285, Motorcycle,189.41,6.887599,37.982206,23.730333,7.3616,-0.3838,0.0621,40.4
286, Taxi,175.49,12.788436,37.979918,23.733326,49.0861,0.1694,0.0621,41.2
287, Bus,474.27,20.2296,37.982849,23.729162,29.9475,-0.0386,-0.1428,41.2
288, Car,475.37,21.828116,37.982865,23.729194,31.4903,-0.4997,-0.1362,42.4
289, Car,474.69,21.097338,37.982852,23.729158,35.5348,-0.0146,0.017,44.0
290, Taxi,164.86,13.612407,37.982865,23.729197,28.6145,-0.0382,0.1264,44.4
291, Car,413.95,28.658072,37.981621,23.733255,33.4595,0.2033,-0.1117,44.8
292, Taxi,475.37,22.225102,37.982856,23.729167,34.5144,-0.0349,0.0424,45.0
293, Motorcycle,120.42,24.083256,37.981616,23.733269,41.0014,0.1463,0.0387,45.6
294, Bus,477.34,12.543295,37.979913,23.733352,18.8724,-0.0064,-0.1814,45.6
295, Medium Vehicle,476.26,21.219521,37.982847,23.72916,34.7649,-0.0068,0.0883,47.0
296, Motorcycle,29.14,10.085199,37.98313,23.730356,3.589,-0.0214,0.1422,47.4
297, Motorcycle,473.86,28.913436,37.98287,23.72918,56.5794,-0.094,0.0897,47.6
298, Motorcycle,130.12,30.028317,37.98214,23.731199,18.3999,-1.2477,0.2212,49.0
299, Motorcycle,29.19,30.903004,37.982866,23.729198,38.1811,0.6002,-0.0407,49.2
300, Car,133.83,25.903345,37.98215,23.731186,15.8238,-0.0044,0.2318,50.4
301, Taxi,164.62,13.976979,37.982858,23.729179,40.9269,-0.3573,-0.002,50.4
302, Taxi,474.82,23.940518,37.982864,23.729185,41.7795,-0.1278,-0.0205,51.6
303, Motorcycle,29.27,20.267292,37.983141,23.730349,14.8325,-0.1154,0.0819,52.2
304, Car,476.12,21.751699,37.982858,23.729166,37.3342,-0.073,0.0012,53.6
